time,Panel_1_Temperature_Max,Panel_1_Temperature_Avg,Panel_2_Temperature_Min,Panel_2_Temperature_Max,Panel_2_Temperature_Avg,Panel_3_Temperature_Min,Panel_3_Temperature_Max,Panel_3_Temperature_Avg
1584358896,-12,-14,-24,-22,-24,-9,-7,-9
1584358954,-12,-14,-24,-20,-23,-9,-7,-9
1584359016,-12,-14,-24,-15,-18,-9,-7,-9
1584762937,69,19,-27,43,13,-21,77,19
1584762995,69,23,-27,43,12,-21,77,17
1584763057,69,27,-27,43,11,-21,77,14
1584763115,69,32,-27,43,10,-21,77,12
1584763177,69,35,-27,43,8,-21,77,11
1584763234,69,37,-27,43,6,-21,77,10
1584763297,69,34,-27,43,4,-21,77,9
1584763354,69,30,-27,43,3,-21,77,7
1584763417,69,26,-27,43,1,-21,77,7
1584763474,69,23,-27,43,-1,-21,77,6
1584763537,69,20,-27,43,-2,-21,77,5
1584763594,69,18,-27,43,-4,-21,77,3
1584763656,69,15,-27,43,-5,-21,77,2
1584763714,69,13,-27,43,-6,-21,77,1
1584768937,69,31,-27,43,19,-21,77,4
1584768994,69,27,-27,43,17,-21,77,3
1584769057,69,24,-27,43,15,-21,77,2
1584769114,69,21,-27,43,12,-21,77,2
1584769176,69,19,-27,43,10,-21,77,2
1584769234,69,16,-27,43,7,-21,77,1
1584769296,69,14,-27,43,5,-21,77,0
1584769354,69,12,-27,43,3,-21,77,-1
1584769536,69,7,-27,43,-1,-21,77,-3
1584769594,69,6,-27,43,-3,-21,77,-4
1584769714,69,2,-27,43,-6,-21,77,-5
1584847425,69,30,-27,43,14,-21,77,18
1584847482,69,27,-27,43,18,-21,77,22
1584847545,69,24,-27,43,20,-21,77,25
1584847602,69,22,-27,43,18,-21,77,26
1584847665,69,21,-27,43,16,-21,77,24
1584847722,69,20,-27,43,14,-21,77,21
1584847785,69,20,-27,43,11,-21,77,19
1584847842,69,23,-27,43,9,-21,77,17
1584847904,69,22,-27,43,8,-21,77,15
1584847962,69,20,-27,43,6,-21,77,13
1584848024,69,17,-27,43,4,-21,77,12
1584848082,69,15,-27,43,3,-21,77,11
1584848144,69,14,-27,43,1,-21,77,9
1584853365,69,22,-27,43,16,-21,77,16
1584853423,69,28,-27,43,17,-21,77,14
1584853485,69,28,-27,43,15,-21,77,13
1584853543,69,25,-27,43,13,-21,77,12
1584853605,69,23,-27,43,11,-21,77,11
1584853663,69,21,-27,43,9,-21,77,9
1584853725,69,19,-27,43,7,-21,77,7
1584853782,69,16,-27,43,5,-21,77,6
