time,Panel_1_Power_Avg,Panel_2_Power_Avg,Panel_3_Power_Avg
1580629958,0.0311279296875,1.318359375,2.237548828125
1580630022,0.04852294921875,2.20001220703125,1.04461669921875
1580630086,0.1556396484375,0.58502197265625,0.25177001953125
1580630150,1.080322265625,1.19384765625,0.6298828125
1580630214,0.0,0.82305908203125,1.36688232421875
1580630278,0.516357421875,1.6424560546875,0.50445556640625
1580630342,0.0,0.0,0.0
1580630406,0.0,0.0,0.0
1580630470,0.0,0.0,0.0
1580630534,0.0,0.0,0.0
1580630598,0.0,0.0,0.0
1580630662,0.0,0.0,0.0
1580630726,0.0,0.0,0.0
1580630982,0.0,0.0,0.0
1580631046,0.0,0.0,0.0
1580631110,0.0,0.0,0.0
1580631174,0.0,0.0,0.0
1580631238,0.0,0.0,0.0
1580631302,0.0,0.0,0.0
1580631366,0.0,0.0,0.0
1580631430,0.0,0.0,0.0
1580631494,0.0,0.0,0.0
1580631558,0.0,0.0,0.0
1580631622,0.0,0.0,0.0
1580631686,0.0,0.0,0.0
1580631750,0.0,0.0,0.0
1580631814,0.0,0.0,0.0
1580631878,0.0,0.0,0.0
1580631942,0.0,0.0,0.0
1580632006,0.0,0.0,0.0
1580632070,0.0,0.0,0.0
1580632134,0.0,0.0,0.0
1580632198,0.0,0.0,0.0
1580632262,0.0,0.0,0.0
1580632326,0.0,0.0,0.0
1580632390,0.41015625,0.3515625,0.92193603515625
1580632454,2.5341796875,1.611328125,0.2288818359375
1580632518,0.164794921875,0.435791015625,2.5048828125
1580632582,0.6976318359375,1.94549560546875,2.69622802734375
1580632646,2.42889404296875,2.197265625,0.34423828125
1580632710,2.48016357421875,0.4302978515625,0.743408203125
1580632774,0.4339599609375,0.4046630859375,2.5653076171875
1580632838,0.5419921875,1.87042236328125,3.19976806640625
1580632902,2.05352783203125,2.81158447265625,0.977783203125
1580632966,3.218994140625,0.8441162109375,0.64910888671875
1580633030,1.109619140625,0.63079833984375,2.39044189453125
1580633094,0.72784423828125,1.78619384765625,3.37646484375
1580633158,1.717529296875,2.86468505859375,1.67083740234375
1580633222,3.350830078125,1.4794921875,0.97320556640625
1580633286,1.7962646484375,0.98419189453125,2.04620361328125
1580633350,1.1279296875,1.68365478515625,3.27850341796875
1580633414,1.644287109375,2.6751708984375,2.13043212890625
1580633478,2.02880859375,1.02447509765625,1.65069580078125
1580633542,0.98419189453125,1.40625,2.86834716796875
1580633606,1.41448974609375,2.3455810546875,2.164306640625
1580633670,2.58453369140625,1.98211669921875,1.417236328125
1580633734,2.35748291015625,1.37603759765625,1.490478515625
1580633798,1.23138427734375,1.33392333984375,2.55889892578125
1580633862,1.48773193359375,2.1002197265625,2.34100341796875
1580633926,2.33001708984375,2.21466064453125,1.7926025390625
1580633990,2.735595703125,1.9482421875,1.73492431640625
1580634054,2.178955078125,1.556396484375,2.3455810546875
1580634118,1.96563720703125,2.2119140625,2.6092529296875
1580634182,2.164306640625,2.208251953125,1.71478271484375
1580634246,2.66143798828125,1.4703369140625,1.30828857421875
1580634310,1.7742919921875,1.1334228515625,1.85760498046875
1580634374,1.380615234375,1.5692138671875,2.34649658203125
1580634438,2.48382568359375,1.44287109375,1.14990234375
1580634502,2.04071044921875,1.03179931640625,1.57470703125
1580634566,1.36962890625,1.12518310546875,2.1807861328125
1580634630,1.57196044921875,1.96563720703125,2.435302734375
1580634694,2.35107421875,1.7578125,1.15264892578125
1580634758,2.42889404296875,0.99151611328125,1.31011962890625
1580634822,1.49871826171875,0.81024169921875,1.82464599609375
1580634886,1.0546875,1.45843505859375,2.71270751953125
1580634950,1.4886474609375,2.20184326171875,2.2705078125
1580635014,2.77679443359375,1.80633544921875,1.15081787109375
1580635078,2.03887939453125,0.6683349609375,1.48590087890625
1580635142,1.04736328125,0.95672607421875,2.29156494140625
1580635206,0.5145263671875,0.948486328125,3.3380126953125
1580635270,1.18927001953125,2.62298583984375,2.53875732421875
1580635334,2.5323486328125,1.6552734375,0.3204345703125
1580635398,0.15838623046875,0.24169921875,2.6641845703125
1580635462,0.82122802734375,1.2725830078125,2.0782470703125
1580635526,0.1263427734375,2.22015380859375,2.37213134765625
1580635590,1.25518798828125,2.2064208984375,1.34674072265625
1580635654,0.13641357421875,0.2197265625,0.22430419921875
1580635718,1.2982177734375,0.8477783203125,1.36505126953125
1580635782,0.032958984375,1.52435302734375,2.4298095703125
1580635846,1.09039306640625,1.9189453125,2.0068359375
1580635910,0.01556396484375,0.24993896484375,0.09246826171875
1580635974,0.0,0.0,0.0
1580636038,0.0,0.0,0.0
1580636102,0.0,0.0,0.0
1580636166,0.0,0.0,0.0
1580636230,0.0,0.0,0.0
1580636294,0.0,0.0,0.0
1580636358,0.0,0.0,0.0
1580636422,0.0,0.0,0.0
1580636486,0.0,0.0,0.0
1580636550,0.0,0.0,0.0
1580636614,0.0,0.0,0.0
1580636678,0.0,0.0,0.0
1580636742,0.0,0.0,0.0
1580636806,0.0,0.0,0.0
1580636870,0.0,0.0,0.0
1580636934,0.0,0.0,0.0
1580636998,0.0,0.0,0.0
1580637062,0.0,0.0,0.0
1580637126,0.0,0.0,0.0
1580637190,0.0,0.0,0.0
1580637254,0.0,0.0,0.0
1580637318,0.0,0.0,0.0
1580637382,0.0,0.0,0.0
1580637446,0.0,0.0,0.0
1580637510,0.0,0.0,0.0
1580637574,0.0,0.0,0.0
1580637638,0.0,0.0,0.0
1580637702,0.0,0.0,0.0
1580637766,0.0,0.0,0.0
1580637830,0.0,0.0,0.0
1580637894,0.0,0.0,0.0
1580637958,0.0,0.0,0.0
1580638022,0.01007080078125,1.10137939453125,1.41082763671875
1580638086,2.28973388671875,2.30804443359375,1.42181396484375
1580638150,2.46826171875,0.13092041015625,0.17578125
1580638214,1.77337646484375,1.2030029296875,2.0196533203125
1580638278,0.003662109375,0.98236083984375,3.603515625
1580638342,2.93243408203125,1.25335693359375,0.05767822265625
1580638406,2.32635498046875,1.395263671875,1.66534423828125
1580638470,0.16021728515625,0.91552734375,3.30780029296875
1580638534,1.739501953125,1.86126708984375,2.4755859375
1580638598,2.43988037109375,2.33917236328125,0.44036865234375
1580638662,2.772216796875,1.91253662109375,1.7596435546875
1580638726,0.57220458984375,0.9759521484375,2.56988525390625
1580638790,2.00958251953125,1.56463623046875,2.5689697265625
1580638854,2.26593017578125,2.59918212890625,1.36322021484375
1580638918,2.74658203125,2.35382080078125,2.11944580078125
1580638982,1.4300537109375,1.1151123046875,2.35748291015625
1580639046,2.2760009765625,1.4263916015625,2.38861083984375
1580639110,2.16339111328125,2.4151611328125,2.054443359375
1580639174,2.288818359375,2.471923828125,2.43896484375
1580639238,2.1661376953125,1.04827880859375,2.2576904296875
1580639302,1.94000244140625,2.16522216796875,2.266845703125
1580639366,1.56005859375,2.40875244140625,2.3199462890625
1580639430,2.68707275390625,1.13525390625,2.010498046875
1580639494,2.53326416015625,1.63787841796875,1.56005859375
