time,Status,Control,Last_Charge_Time
1580782048,0x0,0x0,0.0
1580782106,0x0,0x0,0.0
1580782163,0x0,0x0,0.0
1580782221,0x0,0x0,0.0
1580782278,0x0,0x0,0.0
1580782350,0x0,0x0,0.0
1580782408,0x0,0x0,0.0
1580782465,0x0,0x0,0.0
1580782523,0x0,0x0,0.0
1580782580,0x0,0x0,0.0
1580782638,0x0,0x0,0.0
1580782710,0x0,0x0,0.0
1580782767,0x0,0x0,0.0
1580782825,0x0,0x0,0.0
1580782882,0x0,0x0,0.0
1580782940,0x0,0x0,0.0
1580782997,0x0,0x0,0.0
1580786061,0x0,0x0,0.0
1580786722,0x0,0x0,0.0
1580786780,0x0,0x0,0.0
1580786837,0x0,0x0,0.0
1580786909,0x0,0x0,0.0
1580786967,0x0,0x0,0.0
1580787024,0x0,0x0,0.0
1580787139,0x0,0x0,0.0
1580787858,0x0,0x0,0.0
1580787930,0x0,0x0,0.0
1580787988,0x0,0x0,0.0
1580788045,0x0,0x0,0.0
1580788103,0x0,0x0,0.0
1580788160,0x0,0x0,0.0
1580788218,0x0,0x0,0.0
1580788290,0x0,0x0,0.0
1580788347,0x0,0x0,0.0
1580788405,0x0,0x0,0.0
1580788462,0x0,0x0,0.0
1580788520,0x0,0x0,0.0
1580788577,0x0,0x0,0.0
1580789426,0x0,0x0,0.0
1580789483,0x0,0x0,0.0
1580789541,0x0,0x0,0.0
1580789598,0x0,0x0,0.0
1580789670,0x0,0x0,0.0
1580789728,0x0,0x0,0.0
1580789843,0x0,0x0,0.0
1580791827,0x0,0x0,0.0
1580791942,0x0,0x0,0.0
1580792000,0x0,0x0,0.0
1580792129,0x0,0x0,0.0
1580792661,0x0,0x0,0.0
1580792791,0x0,0x0,0.0
1580792848,0x0,0x0,0.0
1580792906,0x0,0x0,0.0
1580793021,0x0,0x0,0.0
1580793078,0x0,0x0,0.0
1580793682,0x0,0x0,0.0
1580793740,0x0,0x0,0.0
1580793797,0x0,0x0,0.0
1580793869,0x0,0x0,0.0
1580793927,0x0,0x0,0.0
1580793984,0x0,0x0,0.0
1580794042,0x0,0x0,0.0
1580794099,0x0,0x0,0.0
1580797522,0x0,0x0,0.0
1580797580,0x0,0x0,0.0
1580797637,0x0,0x0,0.0
1580797709,0x0,0x0,0.0
1580797767,0x0,0x0,0.0
1580797824,0x0,0x0,0.0
1580797882,0x0,0x0,0.0
1580797939,0x0,0x0,0.0
1580797997,0x0,0x0,0.0
1580798543,0x0,0x0,0.0
1580798601,0x0,0x0,0.0
1580798658,0x0,0x0,0.0
1580798730,0x0,0x0,0.0
1580798903,0x0,0x0,0.0
1580804669,0x0,0x0,0.0
1580804727,0x0,0x0,0.0
1580804784,0x0,0x0,0.0
1580804842,0x0,0x0,0.0
1580804900,0x0,0x0,0.0
1580804957,0x0,0x0,0.0
1580810609,0x0,0x0,0.0
1580810666,0x0,0x0,0.0
1580810724,0x0,0x0,0.0
1580810781,0x0,0x0,0.0
1580810839,0x0,0x0,0.0
1580813485,0x0,0x0,0.0
1580813542,0x0,0x0,0.0
1580813657,0x0,0x0,0.0
1580814981,0x0,0x0,0.0
1580815110,0x0,0x0,0.0
1580815167,0x0,0x0,0.0
1580815225,0x0,0x0,0.0
1580815283,0x0,0x0,0.0
1580815340,0x0,0x0,0.0
1580816189,0x0,0x0,0.0
1580816246,0x0,0x0,0.0
1580816304,0x0,0x0,0.0
1580816361,0x0,0x0,0.0
1580816419,0x0,0x0,0.0
1580816491,0x0,0x0,0.0
1580816548,0x0,0x0,0.0
1580816606,0x0,0x0,0.0
1580816663,0x0,0x0,0.0
1580816721,0x0,0x0,0.0
1580816778,0x0,0x0,0.0
1580819424,0x0,0x0,0.0
1580819482,0x0,0x0,0.0
1580819539,0x0,0x0,0.0
1580819597,0x0,0x0,0.0
1580819669,0x0,0x0,0.0
1580819784,0x0,0x0,0.0
1580820920,0x0,0x0,0.0
1580820977,0x0,0x0,0.0
1580821049,0x0,0x0,0.0
1580821107,0x0,0x0,0.0
1580821164,0x0,0x0,0.0
1580826557,0x0,0x0,0.0
1580826629,0x0,0x0,0.0
1580826687,0x0,0x0,0.0
1580826744,0x0,0x0,0.0
1580826802,0x0,0x0,0.0
1580826859,0x0,0x0,0.0
1580826917,0x0,0x0,0.0
1580826989,0x0,0x0,0.0
1580827046,0x0,0x0,0.0
1580827219,0x0,0x0,0.0
1580827291,0x0,0x0,0.0
1580827348,0x0,0x0,0.0
1580827765,0x0,0x0,0.0
1580827823,0x0,0x0,0.0
1580828010,0x0,0x0,0.0
1580828125,0x0,0x0,0.0
1580828484,0x0,0x0,0.0
1580829031,0x0,0x0,0.0
1580829088,0x0,0x0,0.0
1580829146,0x0,0x0,0.0
1580829318,0x0,0x0,0.0
1580831662,0x0,0x0,0.0
1580832568,0x0,0x0,0.0
1580832683,0x0,0x0,0.0
1580832741,0x0,0x0,0.0
1580832799,0x0,0x0,0.0
1580832870,0x0,0x0,0.0
1580832928,0x0,0x0,0.0
1580833100,0x0,0x0,0.0
1580833158,0x0,0x0,0.0
1580833287,0x0,0x0,0.0
1580833704,0x0,0x0,0.0
