time,Node_Voltage_Min,Node_Voltage_Max,Node_Voltage_Avg
1587649787,3.3000000000000003,3.516,3.3280000000000003
1587650089,3.3000000000000003,3.516,3.3240000000000003
1587651527,3.3000000000000003,3.516,3.332
1587651585,3.3000000000000003,3.516,3.336
1587651642,3.3000000000000003,3.516,3.34
1587651714,3.3000000000000003,3.516,3.348
1587651772,3.3000000000000003,3.516,3.348
1587651829,3.3000000000000003,3.516,3.348
1587651887,3.3000000000000003,3.516,3.344
1587651944,3.3000000000000003,3.516,3.344
1587652002,3.3000000000000003,3.516,3.348
1587652074,3.3000000000000003,3.516,3.352
1587652131,3.3000000000000003,3.516,3.364
1587652189,3.3000000000000003,3.516,3.368
1587652246,3.3000000000000003,3.516,3.372
1587652304,3.3000000000000003,3.516,3.364
1587652361,3.3000000000000003,3.516,3.364
1587652433,3.3000000000000003,3.516,3.368
1587652491,3.3000000000000003,3.516,3.372
1587652548,3.3000000000000003,3.516,3.372
1587652606,3.3000000000000003,3.516,3.372
1587652663,3.3000000000000003,3.516,3.368
1587657222,3.3000000000000003,3.516,3.3280000000000003
1587657294,3.3000000000000003,3.516,3.336
1587657524,3.3000000000000003,3.516,3.356
1587657654,3.3000000000000003,3.516,3.348
1587657711,3.3000000000000003,3.516,3.34
1587657769,3.3000000000000003,3.516,3.34
1587657826,3.3000000000000003,3.516,3.348
1587657884,3.3000000000000003,3.516,3.352
1587658013,3.3000000000000003,3.516,3.356
1587658128,3.3000000000000003,3.516,3.364
1587658186,3.3000000000000003,3.516,3.372
1587658243,3.3000000000000003,3.516,3.372
1587658315,3.3000000000000003,3.516,3.372
1587658373,3.3000000000000003,3.516,3.376
1587658430,3.3000000000000003,3.516,3.376
1587658488,3.3000000000000003,3.516,3.372
1587658545,3.3000000000000003,3.516,3.368
1587663349,3.3000000000000003,3.516,3.352
1587663406,3.3000000000000003,3.516,3.352
1587663464,3.3000000000000003,3.516,3.356
1587663535,3.3000000000000003,3.516,3.368
1587663593,3.3000000000000003,3.516,3.376
1587663651,3.3000000000000003,3.516,3.368
1587663708,3.3000000000000003,3.516,3.376
1587663766,3.3000000000000003,3.516,3.376
1587663895,3.3000000000000003,3.516,3.376
1587663953,3.3000000000000003,3.516,3.372
1587664010,3.3000000000000003,3.516,3.38
1587664068,3.3000000000000003,3.516,3.372
1587664125,3.3000000000000003,3.516,3.372
1587664183,3.3000000000000003,3.516,3.364
1587664255,3.3000000000000003,3.516,3.36
1587664312,3.3000000000000003,3.516,3.364
1587664370,3.3000000000000003,3.516,3.376
1587664427,3.3000000000000003,3.516,3.388
1587664485,3.3000000000000003,3.516,3.4
1587664542,3.3000000000000003,3.516,3.416
1587669288,3.3000000000000003,3.516,3.376
1587669345,3.3000000000000003,3.516,3.376
1587669403,3.3000000000000003,3.516,3.376
1587669475,3.3000000000000003,3.516,3.372
1587669532,3.3000000000000003,3.516,3.376
1587669590,3.3000000000000003,3.516,3.38
1587669647,3.3000000000000003,3.516,3.38
1587669763,3.3000000000000003,3.516,3.376
1587669834,3.3000000000000003,3.516,3.38
1587669892,3.3000000000000003,3.516,3.392
1587669949,3.3000000000000003,3.516,3.404
1587670007,3.3000000000000003,3.516,3.424
1587670065,3.3000000000000003,3.516,3.416
1587670122,3.3000000000000003,3.516,3.392
1587670194,3.3000000000000003,3.516,3.416
1587670252,3.3000000000000003,3.516,3.42
1587670309,3.3000000000000003,3.516,3.404
1587670367,3.3000000000000003,3.516,3.392
1587675112,3.3000000000000003,3.516,3.376
1587675170,3.3000000000000003,3.516,3.372
1587675227,3.3000000000000003,3.516,3.372
1587675285,3.3000000000000003,3.516,3.376
